period,laid_off_by_month,funds_raised_by_month,mortgage_rate,fed_interest_rate,unemployment_rate,stock_open,stock_high,stock_low,stock_close,stock_adj_close,stock_volume
2023/01,70059.0,99960.0,6.2725,4.33,3.4,3853.29,4094.21,3794.33,4076.6,4076.6,80763810000.0
2023/02,24961.0,70754.0,6.2575,4.57,3.6,4070.07,4195.44,3943.08,3970.15,3970.15,80392280000.0
2023/03,29895.0,69481.0,6.544,4.65,3.5,3963.34,4110.75,3808.86,4109.31,4109.31,113094800000.0
2023/04,8278.0,36769.0,6.342499999999999,4.83,3.4,4102.2,4170.06,4049.35,4169.48,4169.48,70861260000.0
2023/05,9254.0,17848.0,6.425,5.06,3.7,4166.79,4231.1,4048.28,4179.83,4179.83,88929200000.0
2023/06,6477.0,68053.2,6.714,5.08,3.6,4183.03,4458.48,4171.64,4450.38,4450.38,87983140000.0
2023/07,5400.0,23905.0,6.84,5.12,3.5,4450.48,4607.07,4385.05,4588.96,4588.96,75063200000.0
2023/08,4820.0,18062.0,7.072,5.33,3.8,4578.83,4584.62,4335.31,4507.66,4507.66,86840820000.0
2023/09,3808.0,29094.0,7.2,5.33,3.8,4530.6,4541.25,4238.63,4288.05,4288.05,73482980000.0
2023/10,6450.0,50662.0,7.62,5.33,3.8,4284.52,4393.57,4103.78,4193.8,4193.8,83519460000.0
2023/11,6815.0,27914.2,7.442,5.33,3.7,4201.27,4587.64,4197.74,4567.8,4567.8,80970570000.0
2023/12,3784.0,42568.0,6.815,5.33,3.7,4559.43,4793.3,4546.5,4769.83,4769.83,81530670000.0
2024/01,21390.0,64714.0,6.6425,5.33,3.7,4745.2,4931.09,4682.11,4845.65,4845.65,81737880000.0
2024/02,12715.0,44473.3,6.776000000000001,5.33,3.9,4861.11,5111.06,4853.52,5096.27,5096.27,82066930000.0
2024/03,6898.0,36298.0,6.82,5.33,3.8,5098.51,5264.85,5056.82,5254.35,5254.35,86299510000.0
2024/04,16688.0,68669.0,6.9925,5.33,3.9,5257.97,5263.95,4953.56,5035.69,5035.69,81747170000.0
2024/05,6581.0,44281.0,7.06,5.33,4.0,5029.03,5341.88,5011.05,5277.51,5277.51,86849720000.0
2024/06,4178.0,15804.0,6.9175,5.33,4.1,5297.15,5523.64,5234.32,5460.48,5460.48,76025620000.0
2024/07,6435.0,7914.0,6.8475,5.33,4.3,5471.08,5669.67,5390.95,5522.3,5522.3,80160390000.0
2024/08,19335.0,3488.0,6.5,5.33,4.2,5537.84,5651.62,5119.26,5648.4,5648.4,81097300000.0
